phase_key,material_id,number_of_atoms,status,safety_status,force_converged,stress_converged,overall_converged,optimizer_steps,state_evaluations,wall_time_seconds,initial_total_energy_eV,final_total_energy_eV,energy_change_eV,initial_maximum_force_eV_per_A,final_maximum_force_eV_per_A,initial_rms_force_eV_per_A,final_rms_force_eV_per_A,initial_maximum_absolute_stress_eV_per_A3,final_maximum_absolute_stress_eV_per_A3,initial_volume_A3,final_volume_A3,volume_change_A3,volume_change_percent,maximum_internal_displacement_A,rms_internal_displacement_A,maximum_total_displacement_A,rms_total_displacement_A,resumed
Al3Ni,mp-622209,16,CONVERGED,PASS,True,,True,28,29,49.671999999904074,-74.69571087869917,-74.73545759047205,-0.03974671177287803,0.21279294890942585,0.009378659891460002,0.1505014128742379,0.008007177851933866,0.02025182492773855,0.022167759531864537,228.5507372689479,228.5507372689479,0.0,0.0,0.05055719702398555,0.03820386559548627,0.05055719702398578,0.038203865595486254,False
Al3Ni2,mp-1057,5,CONVERGED,PASS,True,,True,10,11,5.922000000020489,-25.78055209010038,-25.781655115853006,-0.001103025752627218,0.10259415553179091,0.009127100352973972,0.0779328282836741,0.005805500413342078,0.023518164956813057,0.02266679266341074,67.4350609096183,67.4350609096183,0.0,0.0,0.008259902857096638,0.00585652578072295,0.008259902857096569,0.005856525780722969,False
AlNi,mp-1487,2,ALREADY_CONVERGED,PASS,True,,True,0,1,0.25,-10.813681752983006,-10.813681752983006,0.0,4.888791560310382e-08,4.888791560310382e-08,4.888791558876923e-08,4.888791558876923e-08,0.029697285519781402,0.029697285519781402,23.386572118200654,23.386572118200654,0.0,0.0,0.0,0.0,0.0,0.0,False
Al3Ni5,mp-16514,8,CONVERGED,PASS,True,,True,24,25,20.79700000002049,-44.56807607688442,-44.571700551582545,-0.0036244746981282105,0.16080041576105142,0.009277188605651564,0.08047034220586187,0.004790672515255826,0.04042359454436498,0.04278251294383705,90.37206581100938,90.37206581100938,0.0,0.0,0.021351095144851947,0.01187320434046001,0.021351095144852027,0.011873204340459981,False
AlNi3,mp-2593,4,ALREADY_CONVERGED,PASS,True,,True,0,1,0.4219999999040738,-22.836292364226455,-22.836292364226455,0.0,5.978495219488439e-08,5.978495219488439e-08,5.63350977222002e-08,5.63350977222002e-08,0.03664195876647671,0.03664195876647671,43.727854385354966,43.727854385354966,0.0,0.0,0.0,0.0,0.0,0.0,False
