      Step     Time          Energy          fmax
FIRE:    0 14:28:43      -44.568076        0.160800
FIRE:    1 14:28:44      -44.568570        0.145974
FIRE:    2 14:28:45      -44.569379        0.117936
FIRE:    3 14:28:46      -44.570225        0.079842
FIRE:    4 14:28:46      -44.570858        0.049051
FIRE:    5 14:28:47      -44.571176        0.059687
FIRE:    6 14:28:48      -44.571270        0.059598
FIRE:    7 14:28:49      -44.571294        0.057999
FIRE:    8 14:28:50      -44.571340        0.054848
FIRE:    9 14:28:51      -44.571402        0.050242
FIRE:   10 14:28:51      -44.571472        0.044316
FIRE:   11 14:28:52      -44.571543        0.037249
FIRE:   12 14:28:53      -44.571605        0.029254
FIRE:   13 14:28:54      -44.571652        0.020581
FIRE:   14 14:28:55      -44.571681        0.010593
FIRE:   15 14:28:56      -44.571686        0.014965
FIRE:   16 14:28:56      -44.571686        0.014836
FIRE:   17 14:28:57      -44.571687        0.014579
FIRE:   18 14:28:58      -44.571688        0.014197
FIRE:   19 14:28:59      -44.571689        0.013695
FIRE:   20 14:29:00      -44.571691        0.013078
FIRE:   21 14:29:00      -44.571693        0.012352
FIRE:   22 14:29:01      -44.571695        0.011527
FIRE:   23 14:29:02      -44.571698        0.010510
FIRE:   24 14:29:03      -44.571701        0.009277
