phase_key,formula,material_id,number_of_atoms,space_group_symbol,space_group_number,mace_model_name,model_size,device,dtype,dispersion_enabled,total_energy_eV,energy_per_atom_eV,volume_A3,volume_per_atom_A3,maximum_force_eV_per_A,mean_force_eV_per_A,rms_force_eV_per_A,minimum_force_eV_per_A,total_force_x_eV_per_A,total_force_y_eV_per_A,total_force_z_eV_per_A,total_force_norm_eV_per_A,stress_xx_eV_per_A3,stress_yy_eV_per_A3,stress_zz_eV_per_A3,stress_yz_eV_per_A3,stress_xz_eV_per_A3,stress_xy_eV_per_A3,input_structure_path,output_structure_path,evaluation_time_utc,evaluation_status,error_type,error_message
Al3Ni,Al3Ni,mp-622209,16,Pnma,62,MACE-MP-0,small,cpu,float64,false,-74.695710878699174,-4.6684819299186984,228.5507372689479,14.284421079309244,0.21279294890942585,0.14473339806982066,0.15050141287423791,0.11159409931493176,2.7755575615628914e-17,5.5511151231257827e-17,3.2197176839525069e-16,3.2789888614074219e-16,-0.016041624498206574,-0.018531779439234099,-0.020251824927738551,5.0775736403355011e-11,-2.0965042184974801e-12,-5.9157173168810249e-07,data/processed/ni_al_structures/selected/Al3Ni.extxyz,results/mace_zero_shot/structures/Al3Ni_mace_zero_shot.extxyz,2026-07-21T12:06:56Z,success,,
Al3Ni2,Al3Ni2,mp-1057,5,P-3m1,164,MACE-MP-0,small,cpu,float64,false,-25.780552090100379,-5.1561104180200754,67.435060909618301,13.48701218192366,0.10259415553179091,0.068338222094009318,0.077932828283674094,1.4443924661597189e-15,-1.5978429517005122e-17,-1.280883222837953e-17,-2.4980018054066022e-16,2.5063819858718887e-16,-0.023517664718075999,-0.023518164956813057,-0.016051933616565869,-1.1946262195306376e-08,1.189897118181321e-09,-3.098263829685444e-07,data/processed/ni_al_structures/selected/Al3Ni2.extxyz,results/mace_zero_shot/structures/Al3Ni2_mace_zero_shot.extxyz,2026-07-21T12:06:56Z,success,,
AlNi,AlNi,mp-1487,2,Pm-3m,221,MACE-MP-0,small,cpu,float64,false,-10.813681752983006,-5.4068408764915032,23.386572118200654,11.693286059100327,4.888791560310382e-08,4.888791558876923e-08,4.888791558876923e-08,4.8887915574434647e-08,-5.4210108624275222e-18,4.1199682554449168e-17,1.3877787807814457e-17,4.3810891291968303e-17,-0.029697285519781402,-0.029697285519781371,-0.029697285519781381,-5.5825841305048892e-17,-4.3131676771816418e-17,-5.6680676502897003e-17,data/processed/ni_al_structures/selected/AlNi.extxyz,results/mace_zero_shot/structures/AlNi_mace_zero_shot.extxyz,2026-07-21T12:06:56Z,success,,
Al3Ni5,Al3Ni5,mp-16514,8,Cmmm,65,MACE-MP-0,small,cpu,float64,false,-44.568076076884417,-5.5710095096105521,90.372065811009378,11.296508226376172,0.16080041576105142,0.041879643811068824,0.080470342205861869,4.6235804197550995e-08,-5.6169798757086851e-18,2.4980018054066022e-16,2.7755575615628914e-17,2.5140018424580649e-16,-0.040423594544364977,-0.037495418448320099,-0.038470869618626849,0.0045195977160738688,1.4748760648434658e-17,1.8244816712616336e-17,data/processed/ni_al_structures/selected/Al3Ni5.extxyz,results/mace_zero_shot/structures/Al3Ni5_mace_zero_shot.extxyz,2026-07-21T12:06:56Z,success,,
AlNi3,AlNi3,mp-2593,4,Pm-3m,221,MACE-MP-0,small,cpu,float64,false,-22.836292364226455,-5.7090730910566139,43.727854385354966,10.931963596338742,5.9784952194884388e-08,5.6161752886337212e-08,5.6335097722200198e-08,4.8968350355483956e-08,-3.0465018195268786e-18,-1.8034264506775014e-17,-8.1057664920447525e-17,8.3095492729703792e-17,-0.036641958766476711,-0.036619047115213375,-0.036619173984394168,-6.5180817290407038e-18,2.6831920314577485e-18,5.8249061297221476e-18,data/processed/ni_al_structures/selected/AlNi3.extxyz,results/mace_zero_shot/structures/AlNi3_mace_zero_shot.extxyz,2026-07-21T12:06:56Z,success,,
