element,material_id,number_of_atoms,status,safety_status,optimizer_steps,state_evaluations,wall_time_seconds,initial_total_energy_eV,final_total_energy_eV,initial_energy_per_atom_eV,final_energy_per_atom_eV,initial_maximum_force_eV_per_A,final_maximum_force_eV_per_A,initial_maximum_absolute_stress_eV_per_A3,final_maximum_absolute_stress_eV_per_A3,initial_volume_A3,final_volume_A3,volume_change_percent,initial_volume_per_atom_A3,final_volume_per_atom_A3,initial_space_group,final_space_group,chemical_potential_candidate_eV_per_atom,resumed,checkpoint
Al,mp-134,1,CONVERGED,PASS,7,8,1.3910000000614673,-3.709129750225296,-3.7095879398802807,-3.709129750225296,-3.7095879398802807,0.0,0.0,0.005349911594117587,0.0004680883763753326,16.471717630914863,16.66185899695218,1.1543505680333688,16.471717630914863,16.66185899695218,Fm-3m (225),Fm-3m (225),-3.7095879398802807,False,results/mace_elemental_references/full_cell/checkpoints/Al_mace_reference_result.json
Ni,mp-23,1,CONVERGED,PASS,4,5,0.34300000010989606,-5.726033697320794,-5.732347319930138,-5.726033697320794,-5.732347319930138,0.0,0.0,0.039074822319937294,0.0006108177079502753,10.492020341068944,10.830357430935019,3.224708672568255,10.492020341068944,10.830357430935019,Fm-3m (225),Fm-3m (225),-5.732347319930138,False,results/mace_elemental_references/full_cell/checkpoints/Ni_mace_reference_result.json
