step,elapsed_seconds,total_energy_eV,energy_per_atom_eV,maximum_force_eV_per_A,mean_force_eV_per_A,rms_force_eV_per_A,total_force_norm_eV_per_A,stress_xx_eV_per_A3,stress_yy_eV_per_A3,stress_zz_eV_per_A3,stress_yz_eV_per_A3,stress_xz_eV_per_A3,stress_xy_eV_per_A3,maximum_absolute_stress_eV_per_A3,volume_A3,volume_per_atom_A3,volume_change_percent,lattice_a_A,lattice_b_A,lattice_c_A,angle_alpha_deg,angle_beta_deg,angle_gamma_deg,maximum_internal_displacement_A,rms_internal_displacement_A,maximum_total_displacement_A,rms_total_displacement_A,force_converged,stress_converged,overall_converged,safety_status
10,6.01500000001397,-25.79815685934639,-5.159631371869278,0.041558813652804456,0.03171729617432232,0.0355022363062937,1.191534290164657e-16,0.0016717341321647178,0.001671718927483312,0.00433097398089892,-3.87407459616584e-09,7.526093270541776e-09,3.2698814783849035e-08,0.00433097398089892,69.23815512212616,13.847631024425231,2.673823065014358,4.035048463675686,4.035048159177473,4.91040594952647,89.99999896170115,90.00000052027687,120.00000441506587,0.008565018391937917,0.005547274644694753,0.03316209536078102,0.02561151934584465,False,False,False,PASS
11,6.592999999993481,-25.79831061750953,-5.159662123501906,0.03252386534295255,0.024684898043147996,0.027638837386165793,1.5828644498022997e-16,0.0013672399943691915,0.0013672181616501164,0.003998793018479422,-3.165059355646894e-09,6.455696120801445e-09,2.6253705044525124e-08,0.003998793018479422,69.21673414484896,13.843346828969791,2.6420577236796694,4.034761178128714,4.034760879472947,4.909585837270279,89.99999892777481,90.00000055554733,120.00000452893076,0.00795587038196547,0.005090954172724211,0.03302311545180613,0.02532263170314011,False,False,False,PASS
12,7.109000000054948,-25.7984502364235,-5.1596900472847,0.022418481285401814,0.016822895798961842,0.018849606120586514,1.0923221986093944e-16,0.0010184014218832704,0.0010183720459440752,0.0036065443017550872,-2.324381385164647e-09,5.184415853095187e-09,1.8834150023264958e-08,0.0036065443017550872,69.19186696310088,13.838373392620175,2.6051819777210383,4.034436408771254,4.034436117272345,4.9086121744672875,89.99999888902866,90.00000059617302,120.00000465199655,0.007280313311153758,0.0046146109258322476,0.0328298776791305,0.024993496808854387,False,False,False,PASS
13,7.625,-25.7985616677991,-5.15971233355982,0.011674005809374126,0.008469235440451141,0.009518718096924844,1.8690374028912808e-16,0.000634162190757362,0.0006341245767112462,0.0031571368497211702,-1.3563791855843971e-09,3.718294912731601e-09,1.0592857725867295e-08,0.0031571368497211702,69.16391842386516,13.83278368477303,2.5637368616957312,4.034085452477913,4.034085169632855,4.907483212119821,89.99999884661881,90.00000064122264,120.0000047754672,0.006570375367944992,0.004159794208310587,0.03256220384085563,0.024628643574936375,False,False,False,PASS
14,8.172000000020489,-25.798641398142568,-5.1597282796285135,0.0017193100804965644,0.0007839273535190514,0.0010979747532318656,1.0831192618814966e-16,0.00018309621010263058,0.0001830490467662001,0.0025996817922153107,-1.488895895329047e-10,1.8870881474935995e-09,7.758757353622649e-10,0.0025996817922153107,69.13001995998223,13.826003991996448,2.5134685540443957,4.033685858040209,4.033685586840429,4.906049844179358,89.99999879754174,90.00000069451305,120.00000489723784,0.0057971186365030295,0.0037393054624575866,0.03214677388116709,0.024187342863521692,True,False,False,PASS
15,8.71799999999348,-25.79867616965793,-5.1597352339315865,0.012875666819635695,0.010006637985475523,0.011192585621728106,7.106133128076139e-17,-0.0003152761142125557,-0.0003153335882148581,0.0019307688020102143,1.3058875068618054e-09,-3.204007444239056e-10,-1.0346262623210964e-08,0.0019307688020102143,69.09043975817885,13.81808795163577,2.454774751044142,4.033268237153255,4.033267981750714,4.90425633940917,89.99999874530303,90.00000075366076,120.00000498561734,0.005049042529965843,0.0034377937436933315,0.03150122090768349,0.02366293564292698,False,False,False,PASS
16,9.25,-25.7986701689526,-5.15973403379052,0.022124402669948248,0.017685445751173246,0.01977293571913026,2.2765217796138977e-16,-0.0008058662288616674,-0.0008059334179581101,0.0011955270818350841,2.899448035791579e-09,-2.7373969748070204e-09,-2.1674178933277392e-08,0.0011955270818350841,69.04826529827658,13.809653059655314,2.392233901620422,4.032895358607358,4.032895123360808,4.902169016160727,89.9999986982942,90.00000081114999,120.00000499785621,0.004459375337411469,0.0033017466917143914,0.0306009310123151,0.02308518817506383,False,False,False,PASS
17,9.781000000075437,-25.798672910810986,-5.159734582162197,0.021796088625052473,0.017417882862423635,0.019473796623754088,1.1618596963112732e-16,-0.0007997884229613064,-0.0007998554202330017,0.0011950377009920766,2.8968129861934206e-09,-2.7321231673918393e-09,-2.157454076115743e-08,0.0011950377009920766,69.04835319642551,13.809670639285102,2.3923642465000006,4.032905297301759,4.032905062444609,4.902151093775942,89.99999869965379,90.00000081019071,120.00000498706207,0.004483978978475721,0.003307029863258803,0.030577821241191523,0.023081454166286854,False,False,False,PASS
18,10.297000000020489,-25.798678255157164,-5.159735651031433,0.021144432080155467,0.016886824545094856,0.018880071110813138,2.6137069961913324e-16,-0.0007877197356727845,-0.0007877863502086344,0.0011939921760602548,2.8915777785479846e-09,-2.72163816693597e-09,-2.137593231544939e-08,0.0011939921760602548,69.04852639378336,13.809705278756672,2.3926210822698746,4.032925105068554,4.0329248709899455,4.902115234101654,89.99999870237282,90.00000080827293,120.00000496550473,0.004532815864411222,0.0033179284702796377,0.030531935394922924,0.02307410949425771,False,False,False,PASS
19,10.84299999999348,-25.798685931474587,-5.159737186294917,0.02017946015787379,0.01610047622958554,0.018000944132565283,9.101421852816534e-17,-0.0007698337566963935,-0.0007698997991330247,0.0011922482714667856,2.883810514310118e-09,-2.7060639384043473e-09,-2.107957973942606e-08,0.0011922482714667856,69.0487794727985,13.8097558945597,2.392996375198697,4.032954654073537,4.032954421162926,4.90206136399182,89.99999870645419,90.00000080539617,120.00000493322635,0.0046051399746544494,0.003335065252861001,0.03046392223035003,0.0230633912542261,False,False,False,PASS
20,11.375,-25.798695554230253,-5.159739110846051,0.018916288131469894,0.015071209614153877,0.01685026635754982,1.7193177189976347e-16,-0.0007463892179670212,-0.0007464545008242745,0.0011895812595600368,2.87360986479091e-09,-2.6855772867012652e-09,-2.0687155475376124e-08,0.0011895812595600368,69.0491040189504,13.80982080379008,2.3934776473255814,4.032993770817572,4.032993539466212,4.9019893088940245,89.9999987119071,90.00000080155634,120.00000489026012,0.0046998282416298625,0.0033592725707609263,0.030374721774460132,0.023049635618415245,False,False,False,PASS
21,11.952999999979511,-25.79870664616885,-5.1597413292337695,0.017375136793158514,0.013815578588008925,0.015446575558412836,9.556333683751286e-17,-0.00071772764284686,-0.0007177919805504071,0.0011856773540072142,2.8611009258331093e-09,-2.6604038118811053e-09,-2.0200659938515256e-08,0.0011856773540072142,69.0494884529548,13.809897690590962,2.394047727635762,4.033042250581874,4.033042021185257,4.901898745828908,89.99999871875083,90.0000007967434,120.000004836608,0.004815380320202491,0.0033914767386079942,0.03026553700384254,0.02303325853675329,False,False,False,PASS
22,12.51500000001397,-25.798718667667867,-5.159743733533573,0.015581390447687164,0.012354368651846451,0.013813158986730873,1.4026928064174815e-16,-0.0006842708904084509,-0.0006843340989321027,0.0011801260270854189,2.8464314506058677e-09,-2.6308116300928067e-09,-1.9622292585276644e-08,0.0011801260270854189,69.04991783240459,13.809983566480918,2.394684457912244,4.033099874472126,4.033099647433665,4.901789147896174,89.99999872701946,90.00000079093815,120.00000477221387,0.004949915512195642,0.003432554864171693,0.030137802359941294,0.023014732492417644,False,False,False,PASS
23,13.09299999999348,-25.79873105082271,-5.159746210164542,0.013565789016306685,0.010712756519917925,0.011978246803309285,1.546475879075119e-16,-0.0006465198737323022,-0.0006465817698275532,0.0011724091904074467,2.829764864622918e-09,-2.5971037159817746e-09,-1.89543177082128e-08,0.0011724091904074467,69.05037356453222,13.810074712906445,2.3953602667889484,4.03316642948784,4.033166205223984,4.9016597151383685,89.99999873676767,90.00000078410841,120.00000469693202,0.005101160049314762,0.003483173612839505,0.029993152034137792,0.022994560219274263,False,False,False,PASS
24,13.702999999979511,-25.798744488567163,-5.159748897713433,0.011122776254557716,0.008723574361301577,0.009755207012591105,2.127833669363439e-16,-0.0006004847592866211,-0.000600544991648641,0.001160625101930052,2.8092286416563832e-09,-2.5554571313852517e-09,-1.8114614814313712e-08,0.001160625101930052,69.05088169055858,13.810176338111717,2.3961137710039715,4.033250138379721,4.033249917688853,4.901492311914734,89.9999987493542,90.00000077531328,120.00000460077798,0.005284597341190848,0.0035505837606628647,0.02981577408985894,0.02297096527647217,False,False,False,PASS
25,14.25,-25.798758220615262,-5.159751644123053,0.00822830718307937,0.006367701690429879,0.007123361720906827,8.345984585683702e-17,-0.0005454391622162512,-0.0005454972997727753,0.0011426167529688526,2.784274164582464e-09,-2.504727417995083e-09,-1.706917688865737e-08,0.0011426167529688526,69.05140995504073,13.810281991008145,2.3968971386987947,4.0333545084826365,4.033354292383011,4.901276130465014,89.99999876558661,90.00000076400842,120.00000447851433,0.00550214197407358,0.0036385766591279364,0.02960192659986915,0.02294415051003659,True,False,False,PASS
26,14.812000000034459,-25.798771175816853,-5.159754235163371,0.004898870117306477,0.0036593388962812335,0.004101559910495237,1.1590357187701161e-16,-0.00048118480572589253,-0.0004812403199562319,0.0011150468232281265,2.7543732351941582e-09,-2.4438771692929393e-09,-1.5780071512015458e-08,0.0011150468232281265,69.05189262476742,13.810378524953483,2.397612893560108,4.033483633300403,4.033483423106021,4.900996567088731,89.99999878657125,90.0000007494562,120.00000432339466,0.005752752977832545,0.0037499717296864328,0.02934905798141144,0.022914635375578505,True,False,False,PASS
27,15.46799999999348,-25.79878214317816,-5.159756428635632,0.0012342359147636437,0.0006809983991746586,0.0008348906033167484,8.55842357306081e-17,-0.0004086695350133259,-0.00040872178431656186,0.0010728517214189223,2.7190979842635494e-09,-2.37229167267235e-09,-1.42101683124647e-08,0.0010728517214189223,69.05220864422428,13.810441728844856,2.39808152138159,4.033641986524201,4.03364178394341,4.900634175698859,89.99999881382394,90.00000073065978,120.00000412693694,0.006029289806319881,0.003884232475479605,0.029057548298418313,0.022883301534395974,True,False,False,PASS
28,15.96799999999348,-25.798790254293937,-5.1597580508587875,0.003386421707975416,0.0023597473589828228,0.00266703978585952,1.1459403084779773e-16,-0.00033111352453898035,-0.000331161773564984,0.001009340107685433,2.6783739874706073e-09,-2.2906439603078015e-09,-1.2344187787314396e-08,0.001009340107685433,69.05216594930498,13.810433189860996,2.398018208738706,4.033832803969739,4.033832611152363,4.900167491188084,89.99999884913255,90.00000070646928,120.00000388065249,0.00631333793336285,0.0040332398480309095,0.028734784456617028,0.022851501796672412,True,False,False,PASS
29,16.5,-25.798795704430475,-5.159759140886095,0.006881754786860888,0.005124377828573993,0.005745044488877589,1.3528848690334565e-16,-0.00025445190366014123,-0.0002544954349518553,0.0009189771039328583,2.6327883207454187e-09,-2.2019312182732664e-09,-1.0228831031812016e-08,0.0009189771039328583,69.051556271918,13.8103112543836,2.3971141131855056,4.034054362884328,4.034054182219046,4.899585961097387,89.99999889367535,90.00000067617792,120.00000358206515,0.006574459938977377,0.004179012353774457,0.028399265257129457,0.02282121126685062,True,False,False,PASS
30,17.031000000075437,-25.798800017118914,-5.1597600034237825,0.00957311748936517,0.00726440674606975,0.008133796017952999,4.706924417523242e-17,-0.00018505951009018383,-0.00018509773808499217,0.0007997065662725324,2.5829149006988043e-09,-2.1102158872976455e-09,-7.963743134125695e-09,0.0007997065662725324,69.05024533862863,13.810049067725725,2.3951701195541686,4.034300648791895,4.034300482620202,4.89889471846025,89.99999894768568,90.00000063972531,120.00000323586757,0.006781113276588419,0.004299718816082322,0.02807420135099257,0.022794333417248413,True,False,False,PASS
31,17.57799999997951,-25.798805422750014,-5.159761084550003,0.011076995890982677,0.008479031990977012,0.009489490191151003,5.191636318548636e-17,-0.00012815884257225314,-0.000128191336593798,0.0006512085797519292,2.5282611408615547e-09,-2.01879564128197e-09,-5.661521750277865e-09,0.0006512085797519292,69.04816709710572,13.809633419421143,2.3920882783058817,4.034565726943835,4.0345655775127165,4.898103542686453,89.9999990113615,90.00000059708161,120.00000284811841,0.00690615748059097,0.004375171395572798,0.02777953884218597,0.02277195668286286,False,False,False,PASS
32,18.109000000054948,-25.798813702463466,-5.159762740492694,0.011058466247682138,0.008505595694624554,0.009517192342861594,5.3737157104589855e-17,-8.771056723261157e-05,-8.773704915960067e-05,0.00047386332893095185,2.466611455716757e-09,-1.9296912821566903e-09,-3.442927730790092e-09,0.00047386332893095185,69.04531426535287,13.809062853070575,2.3878577909090204,4.03484517631893,4.034845045845808,4.897222701959131,89.99999908539975,90.00000054790205,120.00000242407188,0.006926107905813324,0.00438890712060965,0.027530966350482387,0.022754822893892013,False,True,False,PASS
33,18.68700000003446,-25.798824772972484,-5.159764954594497,0.009253892285241845,0.007137394731565728,0.007985378058713667,5.209169458473516e-17,-6.590182962362398e-05,-6.592218368073582e-05,0.0002693647048544764,2.393013502864925e-09,-1.8430118530062345e-09,-1.4476088902322046e-09,0.0002693647048544764,69.04177735149862,13.808355470299725,2.3826128726031293,4.035136286048502,4.035136176792927,4.896265242684819,89.99999917122695,90.00000049138794,120.00000196852307,0.006822674984666958,0.0043313728537345084,0.027340451757935164,0.0227445145710778,True,True,True,PASS
