      Step     Time          Energy          fmax
FIRE:    0 14:30:21      -25.780552        0.317190
FIRE:    1 14:30:21      -25.783213        0.293661
FIRE:    2 14:30:22      -25.787626        0.248982
FIRE:    3 14:30:22      -25.792358        0.187487
FIRE:    4 14:30:23      -25.796021        0.114857
FIRE:    5 14:30:23      -25.797791        0.061564
FIRE:    6 14:30:24      -25.797725        0.069434
FIRE:    7 14:30:25      -25.797777        0.068473
FIRE:    8 14:30:25      -25.797874        0.066563
FIRE:    9 14:30:26      -25.798006        0.063720
FIRE:   10 14:30:26      -25.798157        0.059974
FIRE:   11 14:30:27      -25.798311        0.055357
FIRE:   12 14:30:27      -25.798450        0.049909
FIRE:   13 14:30:28      -25.798562        0.043672
FIRE:   14 14:30:28      -25.798641        0.035943
FIRE:   15 14:30:29      -25.798676        0.026680
FIRE:   16 14:30:29      -25.798670        0.022221
FIRE:   17 14:30:30      -25.798673        0.021891
FIRE:   18 14:30:30      -25.798678        0.021237
FIRE:   19 14:30:31      -25.798686        0.020267
FIRE:   20 14:30:31      -25.798696        0.018998
FIRE:   21 14:30:32      -25.798707        0.017450
FIRE:   22 14:30:33      -25.798719        0.016298
FIRE:   23 14:30:33      -25.798731        0.016191
FIRE:   24 14:30:34      -25.798744        0.016028
FIRE:   25 14:30:34      -25.798758        0.015780
FIRE:   26 14:30:35      -25.798771        0.015399
FIRE:   27 14:30:36      -25.798782        0.014817
FIRE:   28 14:30:36      -25.798790        0.013939
FIRE:   29 14:30:37      -25.798796        0.012691
FIRE:   30 14:30:37      -25.798800        0.011044
FIRE:   31 14:30:38      -25.798805        0.011116
FIRE:   32 14:30:38      -25.798814        0.011096
FIRE:   33 14:30:39      -25.798825        0.009283
